CUSTOMER_ID,INDUSTRY,EMP,ANNUAL_SALES,PROVINCE,MOBILITY,INTERNET
125932,9999999999,9999999999,9999999999,AB,45493.696536151925,699.5398685297312
120781,9999999999,NA,9999999999,BC,32364.920153710922,1907.8194104324798
122801,9999999999,9999999999,9999999999,AB,12965.067425144589,1789.0179189019764
123268,9999999999,9999999999,9999999999,BC,123207.14527500256,2123.016417605316
124391,9999999999,9999999999,9999999999,AB,631.2463953890443,1620.096542795599
126918,9999999999,NA,9999999999,AB,9486.977272229755,8509.512883575635
123792,9999999999,9999999999,9999999999,BC,22645.244921358306,16184.978194605119
120676,9999999999,9999999999,9999999999,AB,198.75272698356594,2366.373927461017
120869,9999999999,NA,9999999999,AB,5267.393166343411,9592.091142379251
123482,9999999999,9999999999,9999999999,AB,1282.7960996437796,9333.580904071387
121311,9999999999,9999999999,9999999999,AB,17463.397656769124,4140.604964527056
124942,9999999999,NA,NA,BC,9125.768029325158,0
122799,9999999999,9999999999,9999999999,AB,402.80551743061176,8859.252412894211
127880,9999999999,9999999999,9999999999,AB,61.3115347513155,2276.8984744958416
129477,9999999999,9999999999,9999999999,AB,400.58770123974136,2106.4133364366457
122046,9999999999,9999999999,9999999999,AB,1951.1996078664188,2373.3129566033904
129568,9999999999,9999999999,9999999999,AB,699.088098534484,5514.806374247065
127617,9999999999,9999999999,9999999999,BC,7191.5611473868685,1636.5294004548725
129563,9999999999,9999999999,9999999999,AB,0,2608.3826609023845
123192,9999999999,NA,9999999999,BC,4798.08102814425,8078.559843814375
124467,9999999999,9999999999,9999999999,BC,1584.4075056789209,2258.8623961554945
120667,9999999999,9999999999,9999999999,AB,3913.8126738768733,5053.6637456276885
125270,9999999999,9999999999,9999999999,BC,1290.760224516119,1878.7333867767463
128354,9999999999,9999999999,9999999999,BC,4743.965005770012,1976.9974557030941
127890,9999999999,NA,9999999999,BC,96.78343587965301,7794.847653156111
120896,9999999999,9999999999,9999999999,AB,1149.4911595434953,3810.334867381327
126168,9999999999,9999999999,9999999999,BC,137.0579391310206,0
128939,9999999999,9999999999,9999999999,BC,23848.649349453597,1379.3198823852122
